TF,TF-Family ,Experiment Date ,gDNA batch ,Raw read pairs #,mapped mapped pairs #,peak # ,#Peaks 5 fold ,Peak reads #,FRiP_score ,Motif known,Motif,Path to data ,Sequencing/report date ,Unnamed: 14,Unnamed: 15
amp_TGIF2_b,TALE homeodomain,2/24/26,2/12/25,26504264,15731571,20,11,436,0,Yes,No,,file:///Volumes/pinkylee/20260313_LH00315_b/Human_pipeline_out/report/report.html,,
amp_YY1_b,C2H2 ZF (GLI-Krüppel class),2/24/26,2/12/25,24835177,12412667,59,34,900,0,Yes,No,,,,
NFATC4,NFAT family (Rel homology domain),12/5/25,12/3/25,30725341,18716837,20,8,259,0,Yes,No,,,,
SMAD2,SMAD family,12/5/25,12/3/25,21645248,15257987,12,2,85,0,Yes,No,,,,
MEIS2,TALE homeodomain,4/9/25,,34644646,57427014,66,16,1011,0,Yes,No,,,,
PBX4,TALE homeodomain,4/9/25,,20003930,33063930,16,3,128,0,Yes,No,,,,
ZBTB43,C2H2 ZF,4/9/25,,19283108,32124647,44,28,1031,0,Yes,No,,,,
ZBTB43,C2H2 ZF,4/15/25,,12288339,32124647,44,28,1031,0,Yes,No,,,,
MKRN3_a,RING finger / CCCH zinc finger (Makorin),2/23/25,2/12/25,21972896,12907237,101,49,1224,0,No,No,,,,
PRMD12,PR/SET domain (PRDM family),12/18/25,12/3/25,75326536,63228809,27,10,4007,0,No,No,,,,
TAF7L,Non-TF (TFIID / TAF component),12/5/25,12/3/25,38453388,23141931,8,2,62,0,No,No,,,,
ID1,"HLH (inhibitory, dominant-negative bHLH)",12/5/25,12/3/25,45388611,29312646,29,9,379,0,No,No,,,,
MED21,Non-TF (Mediator complex subunit),12/5/25,12/3/25,18700874,12739479,6,1,295,0,No,No,,,,
RNF113B,RING finger,4/9/25,,15672906,25732081,15,1,21,0,No,No,,5/1/25,file:///Users/pinkylee/Desktop/Hsapiens.html,
LIN28B,Cold shock domain / CCHC zinc knuckle (RNA-binding),4/9/25,,16331643,26788269,59,23,637,0,No,No,,,,
CSRP2,LIM domain,4/9/25,,18157918,30052695,8,0,0,0,No,No,,,,
CSRP3,LIM domain,4/9/25,,22722771,37646720,51,24,845,0,No,No,,,,
TAGLN2,Non-TF (actin-binding / calponin),4/9/25,,13871306,22564545,11,3,88,0,No,No,,,,
LCP1,Non-TF (actin-bundling / EF-hand),4/9/25,,15651066,25932577,12,2,56,0,No,No,,,,
CDK9,Non-TF (CDK kinase),4/9/25,,11199339,18719681,7,1,22,0,No,No,,,,
PSMC5,Non-TF (AAA+ ATPase / proteasome),4/9/25,,11001759,18098209,4,0,0,0,No,No,,,,
PDE7B,Non-TF (phosphodiesterase),4/15/25,,28720160,47632079,136,47,2126,0,No,No,,,,
HMBS,Non-TF (heme biosynthesis enzyme),4/15/25,,12156391,19972371,20,14,516,0,No,No,,,,
AMPD1,Non-TF (AMP deaminase),4/15/25,,9152939,14928856,34,20,527,0,No,No,,,,
ENO1,Non-TF (glycolytic enzyme),4/15/25,,6662589,10587453,14,6,127,0,No,No,,,,
CDK9,Non-TF (CDK kinase),4/15/25,,11339977,18719681,7,1,22,0,No,No,,,,
house_HALO,,4/15/25,,43402679,72152808,102,34,1959,0,,No,,,,
promega_HALO,,4/15/25,,42033468,70338188,18,0,0,0,,No,,,,
ZBTB8A,C2H2 ZF ,1/21/25,1/17/25,13880245,22114655,3422,2293,,,Yes,No,,,,
ZBTB8A,C2H2 ZF ,1/21/25,1/17/25,769976,22114655,3422,2293,,,Yes,No,,,,
PWP1,Non-TF (WD repeat / rRNA processing),12/5/25,12/3/25,23615147,17197306,113,72,3098,0.01,No,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,4/22/25,,,,,,,,,,,,,
TGIF2_a,TALE homeodomain,4/22/25,,,,,,,,,,,,,
TGIF2LX_a,TALE homeodomain,4/22/25,,,,,,,,,,,,,
MKRN3_a,RING finger / CCCH zinc finger (Makorin),4/22/25,,,,,,,,,,,,,
PJA1_a,RING finger (E3 ubiquitin ligase),4/22/25,,,,,,,,,,,,,
ZBTB43_a,C2H2 ZF,4/22/25,,,,,,,,,,,,,
HALO-in house,,4/22/25,,,,,,,,,,,,,
TGIF2_b,TALE homeodomain,5/7/26,,,,,,,,,,,,,
TGIF2LX_b,TALE homeodomain,5/7/26,,,,,,,,,,,,,
MKRN3_b,RING finger / CCCH zinc finger (Makorin),5/7/26,,,,,,,,,,,,,
SIAH1,RING finger (E3 ubiquitin ligase),5/7/26,,,,,,,,,,,,,
ZBTB43_b,C2H2 ZF,5/7/26,,,,,,,,,,,,,
HALO in house-b,,5/7/26,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TGIF2_a,TALE homeodomain,7/9/25,,,,,,,,,,,,,
TGIF2LX_a,TALE homeodomain,7/9/25,,,,,,,,,,,,,
MKRN3_a,RING finger / CCCH zinc finger (Makorin),7/9/25,,,,,,,,,,,,,
PJA1_a,RING finger (E3 ubiquitin ligase),7/9/25,,,,,,,,,,,,,
ZBTB43_a,C2H2 ZF,7/9/25,,,,,,,,,,,,,
inhouse_HALO_protein_a,,7/9/25,,,,,,,,,,,,,
amp_Halo_beads_a,,7/9/25,,,,,,,,,,,,,
amp_Halo_beads_b,,7/9/25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TGIF2,TALE homeodomain,8/12/25,8/4/25,,,,,,,,,,,,
TGIF2LX,TALE homeodomain,8/12/25,8/4/25,,,,,,,,,,,,
MKRN3,RING finger / CCCH zinc finger (Makorin),8/12/25,8/4/25,,,,,,,,,,,,
MTHDF2,Non-TF (metabolic enzyme),8/12/25,8/4/25,,,,,,,,,,,,
RNF2,RING finger (Polycomb complex),8/12/25,8/4/25,,,,,,,,,,,,
TADA3,Non-TF (SAGA coactivator complex),8/12/25,8/4/25,,,,,,,,,,,,
GABPB1,,8/12/25,8/4/25,,,,,,,,,,,,
PPP1R13L,Non-TF (ankyrin repeat / phosphatase regulator),8/12/25,8/4/25,,,,,,,,,,,,
TGIF2,TALE homeodomain,8/19/25,8/4/25,,,,,,,,,,,,
TGIF2LX,TALE homeodomain,8/19/25,8/4/25,,,,,,,,,,,,
MKRN3,RING finger / CCCH zinc finger (Makorin),8/19/25,8/4/25,,,,,,,,,,,,
MECP2,MBD (methyl-CpG binding domain),8/19/25,8/4/25,,,,,,,,,,,,
LIN28B,Cold shock domain / CCHC zinc knuckle (RNA-binding),8/19/25,8/4/25,,,,,,,,,,,,
LCP1,Non-TF (actin-bundling / EF-hand),8/19/25,8/4/25,,,,,,,,,,,,
KLHL25,Non-TF (BTB-Kelch / E3 adaptor),8/19/25,8/4/25,,,,,,,,,,,,
TXN,Non-TF (thioredoxin),8/19/25,8/4/25,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SNW1,Non-TF (transcriptional coregulator),,,,,,,,,,,,,,
TAF7L,Non-TF (TFIID / TAF component),,,,,,,,,,,,,,
TFCP2L1,CP2 / TFCP2 family,,,,,,,,,,,,,,
TP53,p53 family,,,,,,,,,,,,,,
ID1,"HLH (inhibitory, dominant-negative bHLH)",,,,,,,,,,,,,,
NFATC4,NFAT family (Rel homology domain),,,,,,,,,,,,,,
RFX2,RFX family (winged-helix),,,,,,,,,,,,,,
MED21,Non-TF (Mediator complex subunit),,,,,,,,,,,,,,
NFATC3,NFAT family (Rel homology domain),,,,,,,,,,,,,,
SMAD2,SMAD family,,,,,,,,,,,,,,
TGIF2,TALE homeodomain,,,,,,,,,,,,,,
MKRN3,RING finger / CCCH zinc finger (Makorin),,,,,,,,,,,,,,
